acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439395372.904	20150812_180252		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395373.103	20150812_180253		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395373.303	20150812_180253		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395373.503	20150812_180253		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395373.704	20150812_180253		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395373.930	20150812_180253		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395374.204	20150812_180254		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395374.404	20150812_180254		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395374.604	20150812_180254		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395374.805	20150812_180254		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395375.005	20150812_180255		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395375.228	20150812_180255		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395375.429	20150812_180255		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395375.704	20150812_180255		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395375.904	20150812_180255		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
