acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	
1439373774.978	20150812_120254		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373775.179	20150812_120255		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373775.380	20150812_120255		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373775.578	20150812_120255		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373775.780	20150812_120255		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373775.981	20150812_120255		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373776.182	20150812_120256		9.600000E-10	1.000000E+4	9.600000E-10	9.600000E-10	1.199999E-8	1.099999E-8	
1439373776.379	20150812_120256		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373776.580	20150812_120256		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373776.779	20150812_120256		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373776.980	20150812_120256		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373777.182	20150812_120257		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373777.379	20150812_120257		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373777.661	20150812_120257		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373777.861	20150812_120257		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373778.062	20150812_120258		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373778.262	20150812_120258		9.700000E-10	1.000000E+4	9.700000E-10	9.700000E-10	9.700000E-10	1.099999E-8	
1439373778.460	20150812_120258		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
1439373778.680	20150812_120258		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
1439373778.883	20150812_120258		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
1439373779.083	20150812_120259		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
1439373779.283	20150812_120259		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373779.482	20150812_120259		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373779.682	20150812_120259		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373779.884	20150812_120259		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373780.082	20150812_120300		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373780.285	20150812_120300		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
1439373780.486	20150812_120300		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.199999E-8	1.099999E-8	
