acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	(°C)	
1439396497.274	20150812_182137		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396497.673	20150812_182137		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396498.058	20150812_182138		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396498.460	20150812_182138		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396498.859	20150812_182138		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396499.259	20150812_182139		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396499.660	20150812_182139		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396499.960	20150812_182139		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396500.360	20150812_182140		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396500.761	20150812_182140		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396501.162	20150812_182141		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396501.583	20150812_182141		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396501.962	20150812_182141		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396502.263	20150812_182142		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396502.576	20150812_182142		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396502.862	20150812_182142		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396503.277	20150812_182143		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396503.576	20150812_182143		1.300000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396503.963	20150812_182143		1.300000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396504.277	20150812_182144		1.300000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396504.578	20150812_182144		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396504.978	20150812_182144		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396505.364	20150812_182145		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396505.784	20150812_182145		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396506.165	20150812_182146		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396506.466	20150812_182146		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396506.779	20150812_182146		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396507.180	20150812_182147		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396507.481	20150812_182147		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396507.867	20150812_182147		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396508.268	20150812_182148		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396508.669	20150812_182148		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396509.070	20150812_182149		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396509.470	20150812_182149		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396509.869	20150812_182149		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396510.270	20150812_182150		1.300000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396510.670	20150812_182150		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396511.071	20150812_182151		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396511.370	20150812_182151		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396511.685	20150812_182151		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396511.971	20150812_182151		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396512.386	20150812_182152		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396512.772	20150812_182152		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396513.173	20150812_182153		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396513.472	20150812_182153		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396513.873	20150812_182153		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396514.272	20150812_182154		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396514.673	20150812_182154		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396515.074	20150812_182155		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396515.473	20150812_182155		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396515.873	20150812_182155		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396516.274	20150812_182156		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396516.573	20150812_182156		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396516.889	20150812_182156		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396517.289	20150812_182157		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396518.478	20150812_182158		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
